****   8.3288   1 CAMARGOS     :>: H:   1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2036   4      19      21      18      16      14      11      11      11      10      20      34      17
2037   1      26      22      14      13      14      11       9      10      11      14       9      16
2037   2      24      22      15      13      11      11      10      10      10      20      33      20
2037   3      23      22      16      13      12      11      10      10      10      18      34      19
2037   4      19      21      18      16      14      11      11      11      10      20      34      17
2038   1      26      22      14      13      14      11       9      10      11      14       9      16
2038   2      24      22      15      13      11      11      10      10      10      20      33      20
2038   3      23      22      16      13      12      11      10      10      10      18      34      19
2038   4      19      21      18      16      14      11      11      11      10      20      34      17
2039   1      26      22      14      13      14      11       9      10      11      14       9      16
2039   2      24      22      15      13      11      11      10      10      10      20      33      20
2039   3      23      22      16      13      12      11      10      10      10      18      34      19
2039   4      19      21      18      16      14      11      11      11      10      20      34      17
****   8.3288   3 FUNIL GRANDE :>: H:   4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1      97     118      72      48      42      40      36      38      36      43      62      69
2025   2      97     111      86      59      52      38      33      36      33      54      98     108
2025   3      80     103      84      63      47      40      35      32      32      54     100     103
2025   4      93     112      90      54      42      34      32      34      28      58      91     109
2026   1      97     118      72      48      42      40      36      38      36      43      62      69
2026   2      97     111      86      59      52      38      33      36      33      54      98     108
2026   3      80     103      84      63      47      40      35      32      32      54     100     103
2026   4      93     112      90      54      42      34      32      34      28      58      91     109
2027   1      97     118      72      48      42      40      36      38      36      43      62      69
2027   2      97     111      86      59      52      38      33      36      33      54      98     108
2027   3      80     103      84      63      47      40      35      32      32      54     100     103
2027   4      93     112      90      54      42      34      32      34      28      58      91     109
2028   1      97     118      72      48      42      40      36      38      36      43      62      69
2028   2      97     111      86      59      52      38      33      36      33      54      98     108
2028   3      80     103      84      63      47      40      35      32      32      54     100     103
2028   4      93     112      90      54      42      34      32      34      28      58      91     109
2029   1      97     118      72      48      42      40      36      38      36      43      62      69
2029   2      97     111      86      59      52      38      33      36      33      54      98     108
2029   3      80     103      84      63      47      40      35      32      32      54     100     103
2029   4      93     112      90      54      42      34      32      34      28      58      91     109
2030   1      97     118      72      48      42      40      36      38      36      43      62      69
2030   2      97     111      86      59      52      38      33      36      33      54      98     108
2030   3      80     103      84      63      47      40      35      32      32      54     100     103
2030   4      93     112      90      54      42      34      32      34      28      58      91     109
2031   1      97     118      72      48      42      40      36      38      36      43      62      69
2031   2      97     111      86      59      52      38      33      36      33      54      98     108
2031   3      80     103      84      63      47      40      35      32      32      54     100     103
2031   4      93     112      90      54      42      34      32      34      28      58      91     109
2032   1      97     118      72      48      42      40      36      38      36      43      62      69
2032   2      97     111      86      59      52      38      33      36      33      54      98     108
2032   3      80     103      84      63      47      40      35      32      32      54     100     103
2032   4      93     112      90      54      42      34      32      34      28      58      91     109
2033   1      97     118      72      48      42      40      36      38      36      43      62      69
2033   2      97     111      86      59      52      38      33      36      33      54      98     108
2033   3      80     103      84      63      47      40      35      32      32      54     100     103
2033   4      93     112      90      54      42      34      32      34      28      58      91     109
2034   1      97     118      72      48      42      40      36      38      36      43      62      69
2034   2      97     111      86      59      52      38      33      36      33      54      98     108
2034   3      80     103      84      63      47      40      35      32      32      54     100     103
2034   4      93     112      90      54      42      34      32      34      28      58      91     109
2035   1      97     118      72      48      42      40      36      38      36      43      62      69
2035   2      97     111      86      59      52      38      33      36      33      54      98     108
2035   3      80     103      84      63      47      40      35      32      32      54     100     103
2035   4      93     112      90      54      42      34      32      34      28      58      91     109
2036   1      97     118      72      48      42      40      36      38      36      43      62      69
2036   2      97     111      86      59      52      38      33      36      33      54      98     108
2036   3      80     103      84      63      47      40      35      32      32      54     100     103
2036   4      93     112      90      54      42      34      32      34      28      58      91     109
2037   1      97     118      72      48      42      40      36      38      36      43      62      69
2037   2      97     111      86      59      52      38      33      36      33      54      98     108
2037   3      80     103      84      63      47      40      35      32      32      54     100     103
2037   4      93     112      90      54      42      34      32      34      28      58      91     109
2038   1      97     118      72      48      42      40      36      38      36      43      62      69
2038   2      97     111      86      59      52      38      33      36      33      54      98     108
2038   3      80     103      84      63      47      40      35      32      32      54     100     103
2038   4      93     112      90      54      42      34      32      34      28      58      91     109
2039   1      97     118      72      48      42      40      36      38      36      43      62      69
2039   2      97     111      86      59      52      38      33      36      33      54      98     108
2039   3      80     103      84      63      47      40      35      32      32      54     100     103
2039   4      93     112      90      54      42      34      32      34      28      58      91     109
****   8.3288   4 FURNAS       :>: H:   6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2025   2     461     195     340     323     161     189     333     387     478     499     454     330
2025   3     222     129     165     136     108     106     118     216     272     208     222     128
2025   4     121      99     103     104     100     104     109     108     120      94     115     105
2026   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2026   2     461     195     340     323     161     189     333     387     478     499     454     330
2026   3     222     129     165     136     108     106     118     216     272     208     222     128
2026   4     121      99     103     104     100     104     109     108     120      94     115     105
2027   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2027   2     461     195     340     323     161     189     333     387     478     499     454     330
2027   3     222     129     165     136     108     106     118     216     272     208     222     128
2027   4     121      99     103     104     100     104     109     108     120      94     115     105
2028   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2028   2     461     195     340     323     161     189     333     387     478     499     454     330
2028   3     222     129     165     136     108     106     118     216     272     208     222     128
2028   4     121      99     103     104     100     104     109     108     120      94     115     105
2029   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2029   2     461     195     340     323     161     189     333     387     478     499     454     330
2029   3     222     129     165     136     108     106     118     216     272     208     222     128
2029   4     121      99     103     104     100     104     109     108     120      94     115     105
2030   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2030   2     461     195     340     323     161     189     333     387     478     499     454     330
2030   3     222     129     165     136     108     106     118     216     272     208     222     128
2030   4     121      99     103     104     100     104     109     108     120      94     115     105
2031   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2031   2     461     195     340     323     161     189     333     387     478     499     454     330
2031   3     222     129     165     136     108     106     118     216     272     208     222     128
2031   4     121      99     103     104     100     104     109     108     120      94     115     105
2032   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2032   2     461     195     340     323     161     189     333     387     478     499     454     330
2032   3     222     129     165     136     108     106     118     216     272     208     222     128
2032   4     121      99     103     104     100     104     109     108     120      94     115     105
2033   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2033   2     461     195     340     323     161     189     333     387     478     499     454     330
2033   3     222     129     165     136     108     106     118     216     272     208     222     128
2033   4     121      99     103     104     100     104     109     108     120      94     115     105
2034   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2034   2     461     195     340     323     161     189     333     387     478     499     454     330
2034   3     222     129     165     136     108     106     118     216     272     208     222     128
2034   4     121      99     103     104     100     104     109     108     120      94     115     105
2035   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2035   2     461     195     340     323     161     189     333     387     478     499     454     330
2035   3     222     129     165     136     108     106     118     216     272     208     222     128
2035   4     121      99     103     104     100     104     109     108     120      94     115     105
2036   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2036   2     461     195     340     323     161     189     333     387     478     499     454     330
2036   3     222     129     165     136     108     106     118     216     272     208     222     128
2036   4     121      99     103     104     100     104     109     108     120      94     115     105
2037   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2037   2     461     195     340     323     161     189     333     387     478     499     454     330
2037   3     222     129     165     136     108     106     118     216     272     208     222     128
2037   4     121      99     103     104     100     104     109     108     120      94     115     105
2038   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2038   2     461     195     340     323     161     189     333     387     478     499     454     330
2038   3     222     129     165     136     108     106     118     216     272     208     222     128
2038   4     121      99     103     104     100     104     109     108     120      94     115     105
2039   1     835     457     612     752     911     431     635     175     894     700    1117    1089
2039   2     461     195     340     323     161     189     333     387     478     499     454     330
2039   3     222     129     165     136     108     106     118     216     272     208     222     128
2039   4     121      99     103     104     100     104     109     108     120      94     115     105
****   8.3288   5 MASC. MORAES :>: H:   7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     240     159     152     155     156     176     260     147     297     278     309     312
2025   2     251     124     139     135     139     107     134     157     207     238     210     219
2025   3     176     117     104      96     103      82      90     122     114     127     126      89
2025   4     102     124      99      92      97      41      69      81      67      70      67      75
2026   1     240     159     152     155     156     176     260     147     297     278     309     312
2026   2     251     124     139     135     139     107     134     157     207     238     210     219
2026   3     176     117     104      96     103      82      90     122     114     127     126      89
2026   4     102     124      99      92      97      41      69      81      67      70      67      75
2027   1     240     159     152     155     156     176     260     147     297     278     309     312
2027   2     251     124     139     135     139     107     134     157     207     238     210     219
2027   3     176     117     104      96     103      82      90     122     114     127     126      89
2027   4     102     124      99      92      97      41      69      81      67      70      67      75
2028   1     240     159     152     155     156     176     260     147     297     278     309     312
2028   2     251     124     139     135     139     107     134     157     207     238     210     219
2028   3     176     117     104      96     103      82      90     122     114     127     126      89
2028   4     102     124      99      92      97      41      69      81      67      70      67      75
2029   1     240     159     152     155     156     176     260     147     297     278     309     312
2029   2     251     124     139     135     139     107     134     157     207     238     210     219
2029   3     176     117     104      96     103      82      90     122     114     127     126      89
2029   4     102     124      99      92      97      41      69      81      67      70      67      75
2030   1     240     159     152     155     156     176     260     147     297     278     309     312
2030   2     251     124     139     135     139     107     134     157     207     238     210     219
2030   3     176     117     104      96     103      82      90     122     114     127     126      89
2030   4     102     124      99      92      97      41      69      81      67      70      67      75
2031   1     240     159     152     155     156     176     260     147     297     278     309     312
2031   2     251     124     139     135     139     107     134     157     207     238     210     219
2031   3     176     117     104      96     103      82      90     122     114     127     126      89
2031   4     102     124      99      92      97      41      69      81      67      70      67      75
2032   1     240     159     152     155     156     176     260     147     297     278     309     312
2032   2     251     124     139     135     139     107     134     157     207     238     210     219
2032   3     176     117     104      96     103      82      90     122     114     127     126      89
2032   4     102     124      99      92      97      41      69      81      67      70      67      75
2033   1     240     159     152     155     156     176     260     147     297     278     309     312
2033   2     251     124     139     135     139     107     134     157     207     238     210     219
2033   3     176     117     104      96     103      82      90     122     114     127     126      89
2033   4     102     124      99      92      97      41      69      81      67      70      67      75
2034   1     240     159     152     155     156     176     260     147     297     278     309     312
2034   2     251     124     139     135     139     107     134     157     207     238     210     219
2034   3     176     117     104      96     103      82      90     122     114     127     126      89
2034   4     102     124      99      92      97      41      69      81      67      70      67      75
2035   1     240     159     152     155     156     176     260     147     297     278     309     312
2035   2     251     124     139     135     139     107     134     157     207     238     210     219
2035   3     176     117     104      96     103      82      90     122     114     127     126      89
2035   4     102     124      99      92      97      41      69      81      67      70      67      75
2036   1     240     159     152     155     156     176     260     147     297     278     309     312
2036   2     251     124     139     135     139     107     134     157     207     238     210     219
2036   3     176     117     104      96     103      82      90     122     114     127     126      89
2036   4     102     124      99      92      97      41      69      81      67      70      67      75
2037   1     240     159     152     155     156     176     260     147     297     278     309     312
2037   2     251     124     139     135     139     107     134     157     207     238     210     219
2037   3     176     117     104      96     103      82      90     122     114     127     126      89
2037   4     102     124      99      92      97      41      69      81      67      70      67      75
2038   1     240     159     152     155     156     176     260     147     297     278     309     312
2038   2     251     124     139     135     139     107     134     157     207     238     210     219
2038   3     176     117     104      96     103      82      90     122     114     127     126      89
2038   4     102     124      99      92      97      41      69      81      67      70      67      75
2039   1     240     159     152     155     156     176     260     147     297     278     309     312
2039   2     251     124     139     135     139     107     134     157     207     238     210     219
2039   3     176     117     104      96     103      82      90     122     114     127     126      89
2039   4     102     124      99      92      97      41      69      81      67      70      67      75
****   8.3288   6 ESTREITO GDE :>: H:   8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2025   2     532     259     233     211     234     129     190     283     309     410     449     359
2025   3     152     128     142     128     168     121     135     167     113     148     134     122
2025   4     124     125     119     147     123      81      96     100      85      90      91      95
2026   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2026   2     532     259     233     211     234     129     190     283     309     410     449     359
2026   3     152     128     142     128     168     121     135     167     113     148     134     122
2026   4     124     125     119     147     123      81      96     100      85      90      91      95
2027   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2027   2     532     259     233     211     234     129     190     283     309     410     449     359
2027   3     152     128     142     128     168     121     135     167     113     148     134     122
2027   4     124     125     119     147     123      81      96     100      85      90      91      95
2028   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2028   2     532     259     233     211     234     129     190     283     309     410     449     359
2028   3     152     128     142     128     168     121     135     167     113     148     134     122
2028   4     124     125     119     147     123      81      96     100      85      90      91      95
2029   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2029   2     532     259     233     211     234     129     190     283     309     410     449     359
2029   3     152     128     142     128     168     121     135     167     113     148     134     122
2029   4     124     125     119     147     123      81      96     100      85      90      91      95
2030   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2030   2     532     259     233     211     234     129     190     283     309     410     449     359
2030   3     152     128     142     128     168     121     135     167     113     148     134     122
2030   4     124     125     119     147     123      81      96     100      85      90      91      95
2031   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2031   2     532     259     233     211     234     129     190     283     309     410     449     359
2031   3     152     128     142     128     168     121     135     167     113     148     134     122
2031   4     124     125     119     147     123      81      96     100      85      90      91      95
2032   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2032   2     532     259     233     211     234     129     190     283     309     410     449     359
2032   3     152     128     142     128     168     121     135     167     113     148     134     122
2032   4     124     125     119     147     123      81      96     100      85      90      91      95
2033   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2033   2     532     259     233     211     234     129     190     283     309     410     449     359
2033   3     152     128     142     128     168     121     135     167     113     148     134     122
2033   4     124     125     119     147     123      81      96     100      85      90      91      95
2034   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2034   2     532     259     233     211     234     129     190     283     309     410     449     359
2034   3     152     128     142     128     168     121     135     167     113     148     134     122
2034   4     124     125     119     147     123      81      96     100      85      90      91      95
2035   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2035   2     532     259     233     211     234     129     190     283     309     410     449     359
2035   3     152     128     142     128     168     121     135     167     113     148     134     122
2035   4     124     125     119     147     123      81      96     100      85      90      91      95
2036   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2036   2     532     259     233     211     234     129     190     283     309     410     449     359
2036   3     152     128     142     128     168     121     135     167     113     148     134     122
2036   4     124     125     119     147     123      81      96     100      85      90      91      95
2037   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2037   2     532     259     233     211     234     129     190     283     309     410     449     359
2037   3     152     128     142     128     168     121     135     167     113     148     134     122
2037   4     124     125     119     147     123      81      96     100      85      90      91      95
2038   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2038   2     532     259     233     211     234     129     190     283     309     410     449     359
2038   3     152     128     142     128     168     121     135     167     113     148     134     122
2038   4     124     125     119     147     123      81      96     100      85      90      91      95
2039   1     797     488     327     276     497     164     617      82     725     441    1054    1015
2039   2     532     259     233     211     234     129     190     283     309     410     449     359
2039   3     152     128     142     128     168     121     135     167     113     148     134     122
2039   4     124     125     119     147     123      81      96     100      85      90      91      95
****   8.3288   7 JAGUARA      :>: H:   9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     198     199     174     150     186     126     300      80     167     200     198     198
