**** Planta:  225 SLT APIACAS  Penal:    6.9710503
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2033    1382     569     680    1301     938     762     635     390     390     390     409     390
2034    1382     569     680    1301     938     762     635     390     390     390     409     390
2035    1382     569     680    1301     938     762     635     390     390     390     409     390
2036    1382     569     680    1301     938     762     635     390     390     390     409     390
2037    1382     569     680    1301     938     762     635     390     390     390     409     390
2038    1382     569     680    1301     938     762     635     390     390     390     409     390
2039    1382     569     680    1301     938     762     635     390     390     390     409     390
**** Planta:  230 SAO MANOEL   Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    1447     708     773    1201     726     707     404     323     212      33     192     356
2026    1447     708     773    1201     726     707     404     323     212      33     192     356
2027    1447     708     773    1201     726     707     404     323     212      33     192     356
2028    1447     708     773    1201     726     707     404     323     212      33     192     356
2029    1447     708     773    1201     726     707     404     323     212      33     192     356
2030    1447     708     773    1201     726     707     404     323     212      33     192     356
2031    1447     708     773    1201     726     707     404     323     212      33     192     356
2032    1447     708     773    1201     726     707     404     323     212      33     192     356
2033    1447     708     773    1201     726     707     404     323     212      33     192     356
2034    1447     708     773    1201     726     707     404     323     212      33     192     356
2035    1447     708     773    1201     726     707     404     323     212      33     192     356
2036    1447     708     773    1201     726     707     404     323     212      33     192     356
2037    1447     708     773    1201     726     707     404     323     212      33     192     356
2038    1447     708     773    1201     726     707     404     323     212      33     192     356
2039    1447     708     773    1201     726     707     404     323     212      33     192     356
**** Planta:  309 JURUENA      Penal:    8.6072214
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       0       0       0       0       0       0       0       0       0       0       0
2026       0       0       0       0       0       0       0       0       0       0       0       0
2027       0       0       0       0       0       0       0       0       0       0       0       0
2028       0       0       0       0       0       0       0       0       0       0       0       0
2029       0       0       0       0       0       0       0       0       0       0       0       0
2030       0       0       0       0       0       0       0       0       0       0       0       0
2031       0       0       0       0       0       0       0       0       0       0       0       0
2032       0       0       0       0       0       0       0       0       0       0       0       0
2033       0       0       0       0       0       0       0       0       0       0       0       0
2034       0       0       0       0       0       0       0       0       0       0       0       0
2035       0       0       0       0       0       0       0       0       0       0       0       0
2036       0       0       0       0       0       0       0       0       0       0       0       0
2037       0       0       0       0       0       0       0       0       0       0       0       0
2038       0       0       0       0       0       0       0       0       0       0       0       0
2039       0       0       0       0       0       0       0       0       0       0       0       0
2040       0       0       0       0       0       0       0       0       0       0       0       0
