NUM:  56 TELEM BORBA           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2038  0.86  0.69  0.47  0.11  0.09  0.09  0.09   0.2  0.09  0.31  0.98  1.06
2039  0.89  0.72  0.49  0.11  0.09  0.09  0.09  0.21  0.09  0.32  1.01  1.08
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 115 G. P. SOUZA           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.04  0.04  0.05  0.07  0.04  0.03  0.04  0.07  0.03  0.04  0.12  0.05
2026  0.04  0.04  0.05  0.07  0.04  0.03  0.04  0.07  0.03  0.04  0.13  0.05
2027  0.04  0.04  0.05  0.07  0.04  0.03  0.04  0.07  0.03  0.04  0.13  0.05
2028  0.04  0.04  0.05  0.07  0.04  0.04  0.04  0.07  0.04  0.04  0.13  0.06
2029  0.04  0.04  0.05  0.07  0.04  0.04  0.04  0.07  0.04  0.04  0.14  0.06
2030  0.04  0.04  0.05  0.07  0.04  0.04  0.04  0.07  0.04  0.04  0.14  0.06
2031  0.04  0.04  0.05  0.07  0.04  0.04  0.04  0.07  0.04  0.04  0.14  0.06
2032  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.07  0.04  0.04  0.14  0.06
2033  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.15  0.06
2034  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.15  0.06
2035  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.15  0.06
2036  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.16  0.06
2037  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.16  0.06
2038  0.04  0.04  0.05  0.08  0.04  0.04  0.04  0.08  0.04  0.04  0.16  0.07
2039  0.05  0.04  0.06  0.09  0.04  0.04  0.04  0.08  0.04  0.04  0.17  0.07
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 215 SALTO PILAO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 12.01 11.19  8.91  7.63  7.63  7.63  7.63  7.63   9.4 11.39 14.62 13.17
2026 12.01 11.19  8.92  7.63  7.63  7.63  7.63  7.64  9.41 11.39 14.67 13.18
2027 12.01 11.19  8.93  7.64  7.64  7.64  7.64  7.64  9.35 11.34  14.7 13.18
2028 12.01  11.4  8.93  7.65  7.65  7.65  7.65  7.65  9.41 11.39 14.77  13.2
2029 12.01 11.19  8.94  7.65  7.65  7.65  7.65  7.65  9.41 11.38 14.81 13.21
2030 12.01 11.19  8.95  7.66  7.66  7.66  7.66  7.66  9.41 11.38 14.86 13.22
2031 12.01 11.19  8.96  7.66  7.66  7.66  7.67  7.67  9.36 11.33  14.9 13.23
2032    12  11.4  8.96  7.67  7.67  7.67  7.67  7.67  9.42 11.38 14.96 13.25
2033 12.01 11.19  8.97  7.68  7.68  7.68  7.68  7.68  9.42 11.38 15.01 13.26
2034 12.01 11.19  8.98  7.68  7.68  7.68  7.69  7.69  9.42 11.38 15.06 13.27
2035    12  11.2  8.99  7.69  7.69  7.69  7.69  7.69  9.37 11.33  15.1 13.27
2036    12  11.4  8.99   7.7   7.7   7.7   7.7   7.7  9.43 11.37 15.16 13.29
2037    12  11.2     9   7.7   7.7   7.7   7.7  7.71  9.43 11.37 15.21  13.3
2038    12  11.2  9.01  7.71  7.71  7.71  7.71  7.71  9.43 11.37 15.26 13.31
2039    12  11.2  9.01  7.72  7.72  7.72  7.72  7.72  9.38 11.32  15.3 13.32
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 361 CANASTRA              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.27  0.27  0.27  0.26  0.26  0.26  0.26  0.26  0.26  0.26  0.29  0.28
2026  0.27  0.27  0.27  0.27  0.26  0.26  0.26  0.26  0.26  0.27   0.3  0.29
2027  0.27  0.27  0.27  0.27  0.26  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2028  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2029  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2030  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2031  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2032  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27   0.3  0.29
2033  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31  0.29
2034  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31  0.29
2035  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31  0.29
2036  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31  0.29
2037  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31   0.3
2038  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31   0.3
2039  0.28  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.27  0.31   0.3
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 578 APERTADOS             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  2.51  2.44  2.42   2.4  2.38  2.38  2.41  2.43   2.4  2.39  2.48  2.57
2026  2.53  2.46  2.44  2.41   2.4   2.4  2.43  2.45  2.42  2.41   2.5  2.59
2027  2.55  2.48  2.46  2.43  2.42  2.42  2.44  2.47  2.44  2.43  2.52  2.61
2028  2.58   2.5  2.48  2.45  2.43  2.43  2.46  2.49  2.45  2.45  2.54  2.64
2029   2.6  2.52   2.5  2.47  2.45  2.45  2.48   2.5  2.47  2.46  2.56  2.66
2030  2.62  2.54  2.51  2.48  2.47  2.47   2.5  2.52  2.49  2.48  2.58  2.68
2031  2.64  2.56  2.53   2.5  2.49  2.49  2.52  2.54  2.51   2.5  2.61  2.71
2032  2.66  2.58  2.56  2.52  2.51  2.51  2.54  2.57  2.53  2.52  2.63  2.74
2033  2.69   2.6  2.58  2.55  2.53  2.53  2.56  2.59  2.55  2.54  2.65  2.76
2034  2.71  2.62   2.6  2.57  2.55  2.55  2.58  2.61  2.57  2.56  2.68  2.79
2035  2.74  2.65  2.62  2.59  2.57  2.57   2.6  2.63  2.59  2.59   2.7  2.81
2036  2.76  2.67  2.64  2.61  2.59  2.59  2.62  2.65  2.61  2.61  2.72  2.84
2037  2.79  2.69  2.67  2.63  2.61  2.61  2.65  2.68  2.63  2.63  2.75  2.87
2038  2.81  2.71  2.69  2.65  2.63  2.63  2.67   2.7  2.66  2.65  2.77  2.89
2039  2.84  2.74  2.71  2.67  2.65  2.65  2.69  2.72  2.68  2.67  2.79  2.91
2040     0     0     0     0     0     0     0     0     0     0     0     0
